Designation OSE;Localisation;Type de structure;Taille;Secteurs;Sous-secteurs;Activités;Extra - Fourniture de service;Extra - Établissement principal;Resultat;Points d'attention;Code
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États membres de l'Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1096
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États hors Union Européenne;-;Non régulée;-;R1097
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États membres de l'Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1098
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États hors Union Européenne;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1099
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1100
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1101
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services DNS, à l'exclusion des opérateurs de serveurs racines de noms de domaines;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1102
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services DNS, à l'exclusion des opérateurs de serveurs racines de noms de domaines;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1103
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Registre de noms de domaines de premier niveau;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1104
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Registre de noms de domaines de premier niveau;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1105
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services d'informatique en nuage;-;France;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1106
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services d'informatique en nuage;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1107
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de centres de données;-;France;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1108
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de centres de données;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1109
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de diffusion de contenu;-;France;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1110
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de diffusion de contenu;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1111
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur des services d'enregistrement de noms de domaine;-;France;Régulée, enregistrement seul;#EnregistrementNomsDeDomaine, #ResilienceEntiteCritique, #MecanismeExemptionSecuriteNationale;R1112
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur des services d'enregistrement de noms de domaine;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1113
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Prestataire de service de confiance qualifié;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1114
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Prestataire de service de confiance non qualifié;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1115
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de points d'échange internet;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1116
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1117
Non;France;Entreprise privée ou publique;Moyenne;Gestion des services TIC;-;Fournisseur de services gérés;-;France;Régulée EI;#MecanismeExemptionSecuriteNationale, #CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1118
Non;France;Entreprise privée ou publique;Moyenne;Gestion des services TIC;-;Fournisseur de services gérés;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1119
Non;France;Entreprise privée ou publique;Moyenne;Gestion des services TIC;-;Fournisseur de services de sécurité gérés;-;France;Régulée EI;#MecanismeExemptionSecuriteNationale, #CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1120
Non;France;Entreprise privée ou publique;Moyenne;Gestion des services TIC;-;Fournisseur de services de sécurité gérés;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1121
Non;France;Entreprise privée ou publique;Moyenne;Gestion des services TIC;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1122
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Fournisseur de places de marché en ligne;-;France;Régulée EI;#MecanismeExemptionSecuriteNationale, #CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1123
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Fournisseur de places de marché en ligne;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1124
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Fournisseur de moteurs de recherche en ligne;-;France;Régulée EI;#MecanismeExemptionSecuriteNationale, #CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1125
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Fournisseur de moteurs de recherche en ligne;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1126
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Fournisseur de plateformes de services de réseaux sociaux;-;France;Régulée EI;#MecanismeExemptionSecuriteNationale, #CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1127
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Fournisseur de plateformes de services de réseaux sociaux;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1128
Non;France;Entreprise privée ou publique;Moyenne;Fournisseurs numériques;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1129
Non;France;Entreprise privée ou publique;Moyenne;Banques (secteur bancaire);-;Établissements de crédit;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique, #DORA, #ResilienceEntiteCritique;R1130
Non;France;Entreprise privée ou publique;Moyenne;Banques (secteur bancaire);-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #DORA, #ResilienceEntiteCritique;R1131
Non;France;Entreprise privée ou publique;Moyenne;Eau potable;-;Fournisseurs et distributeurs d'eaux destinées à la consommation humaine, à l'exclusion des distributeurs pour lesquels la distribution d'eaux destinées à la consommation humaine constitue une partie non essentielle de leur activité générale de distribution d'autres produits et biens;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1132
Non;France;Entreprise privée ou publique;Moyenne;Eau potable;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1133
Non;France;Entreprise privée ou publique;Moyenne;Eaux usées;-;Entreprises collectant, évacuant ou traitant les eaux urbaines résiduaires, les eaux ménagères usées ou les eaux industrielles usées, à l'exclusion des entreprises pour lesquelles la collecte, l'évacuation ou le traitement des eaux urbaines résiduaires, des eaux ménagères usées ou des eaux industrielles usées constituent une partie non essentielle de leur activité générale;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1134
Non;France;Entreprise privée ou publique;Moyenne;Eaux usées;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1135
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Acteurs du marché fournissant des services d'agrégation, de participation active de la demande ou de stockage d'énergie;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Entreprise d'électricité remplissant une fonction de fourniture;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Exploitants d'un point de recharge qui sont responsables de la gestion et de l'exploitation d'un point de recharge, lequel fournit un service de recharge aux utilisateurs finals, y compris au nom et pour le compte d'un prestataire de services de mobilité;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Gestionnaire de réseau de distribution;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Gestionnaire de réseau de transport;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Opérateur désigné du marché ou NEMO;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Producteurs;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1136
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Électricité;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1137
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Gaz;Entreprises de fourniture;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1138
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Gaz;Gestionnaires de réseau de distribution;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1138
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Gaz;Gestionnaire de réseau de transport;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1138
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Gaz;Gestionnaires d'installation de stockage;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1138
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Gaz;Gestionnaires d'installation de GNL;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1138
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Gaz;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1139
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Hydrogène;Exploitants de systèmes de production, de stockage et de transport d'hydrogène;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1140
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Hydrogène;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1141
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Pétrole;Exploitants d'oléoducs;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1142
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Pétrole;Exploitants d'installations de production, de raffinage, de traitement, de stockage et de transport de pétrole;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1142
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Pétrole;Entités centrales de stockage;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1142
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Pétrole;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1143
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Réseaux de chaleur et de froid;Opérateurs de réseaux de chaleur ou de réseaux de froid;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1144
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Réseaux de chaleur et de froid;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1145
Non;France;Entreprise privée ou publique;Moyenne;Énergie;Autre sous-secteur;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1146
Non;France;Entreprise privée ou publique;Moyenne;Espace;-;Exploitants d'infrastructures terrestres, détenues, gérées et exploitées par des États membres ou par des parties privées, qui soutiennent la fourniture de services spatiaux, à l'exclusion des fournisseurs de réseaux de communications électroniques publics;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1147
Non;France;Entreprise privée ou publique;Moyenne;Espace;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1148
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de dispositifs médicaux et de dispositifs médicaux de diagnostic in vitro;Entités fabriquant des dispositifs médicaux et entités fabriquant des dispositifs médicaux de diagnostic in vitro, à l'exception des entités fabriquant des dispositifs médicaux mentionnés à l'annexe I, point 5, cinquième tiret, de la présente directive;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1149
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de dispositifs médicaux et de dispositifs médicaux de diagnostic in vitro;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1150
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'équipements électriques;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1151
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'équipements électriques;Fabrication de piles et d'accumulateurs électriques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1151
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'équipements électriques;Fabrication de fils et câbles et de matériel d'installation électrique - Fabrication de câbles de fibres optiques - Fabrication d'autres fils et câbles électroniques ou électriques - Fabrication de matériel d'installation électrique;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1151
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'équipements électriques;Fabrication d'appareils d'éclairage;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1151
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'équipements électriques;Fabrication d'appareils ménagers - Fabrication d'appareils électroménagers - Fabrication d'appareils ménagers non électriques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1151
